dt=50;dt=150;dt=700;dt=2000
0.1599906;0.2817733;0.6227668;0.5747701
0.160554;0.281316;0.6236605;0.575739
0.1610041;0.2806427;0.6245249;0.5766354
0.16143;0.2800756;0.62528;0.5775353
0.1617651;0.2795307;0.6261916;0.578397
0.1621466;0.2787776;0.6270074;0.5792268
0.1624359;0.2782753;0.6277633;0.5800688
0.1626809;0.2776305;0.628532;0.5809236
0.1627226;0.2770712;0.629336;0.5818114
0.1629474;0.2764919;0.6301245;0.5826903
0.1633574;0.2758456;0.6310289;0.5836387
0.1635942;0.2750101;0.6319548;0.5845179
0.1637528;0.2742643;0.6328545;0.5854527
0.1639191;0.273513;0.6337605;0.5863572
0.1644124;0.2727375;0.6345753;0.5872716
0.1647545;0.2718404;0.6354239;0.5881768
0.1649522;0.2709508;0.6362652;0.589072
0.1652779;0.2700765;0.6371279;0.5899627
0.1652742;0.2691941;0.6380229;0.5908369
0.1656786;0.2684425;0.6389386;0.5916532
0.1662124;0.2678394;0.6397934;0.5925446
0.1666913;0.2673581;0.6407046;0.5934588
0.1671673;0.26689;0.6415258;0.5942843
0.1678431;0.2665177;0.6423822;0.5951227
0.1684738;0.2661097;0.6431533;0.5959211
0.1689462;0.2657068;0.6438755;0.5967206
0.1695572;0.2652751;0.644618;0.5975407
0.1701566;0.2650065;0.6453756;0.5983593
0.1707176;0.2646383;0.6460267;0.5991134
0.1709964;0.2642406;0.6466609;0.5997969
0.1712993;0.2638244;0.6472548;0.6005092
0.1716531;0.263652;0.6478831;0.6012189
0.172196;0.2633576;0.6486091;0.6018609
0.1726677;0.2631849;0.6492896;0.6025022
0.1729904;0.2628777;0.6500132;0.603144
0.1734212;0.2626488;0.6506241;0.6038219
0.1737782;0.2624589;0.6512993;0.6045654
0.1740532;0.2622032;0.6519648;0.6052708
0.1742287;0.2620914;0.652648;0.6059983
0.174437;0.262002;0.6533988;0.6067348
0.1746848;0.2620612;0.6540324;0.6074712
0.1750541;0.2621548;0.6547665;0.6081802
0.1752066;0.2622645;0.655495;0.6088081
0.1754178;0.2624668;0.6561338;0.6094643
0.1755507;0.26265;0.6567551;0.6101399
0.1756731;0.2628572;0.6574151;0.6107411
0.175549;0.2630033;0.6580122;0.611402
0.1756286;0.2631723;0.6586803;0.6119995
0.1755764;0.2632448;0.6593317;0.6126196
0.1754622;0.2633105;0.6600137;0.613304
0.1754114;0.2633979;0.6605651;0.6139441
0.1753877;0.263274;0.6611964;0.6145994
0.1756063;0.2631544;0.6617284;0.6152626
0.1757193;0.262917;0.6623059;0.615941
0.1761792;0.2626143;0.6628691;0.6165717
0.1763894;0.2623125;0.6634017;0.6172109
0.1765668;0.2621254;0.6639434;0.6178266
