voltage,motion,temperature,sound,voc,illuminace,humidity,timestamp
6.58,28,24.36,61.37,31,540.87,32.14,2021-10-23T12:09:08.344362
6.58,28,24.36,72.27,31,540.87,32.14,2021-10-23T12:09:08.576327
6.58,28,24.36,72.27,31,541.65,32.14,2021-10-23T12:09:08.598075
6.58,28,24.36,72.27,31,541.65,32.14,2021-10-23T12:09:08.603946
6.58,28,24.36,72.27,31,541.65,32.14,2021-10-23T12:09:08.607166
6.58,21,24.36,72.27,31,541.65,32.14,2021-10-23T12:09:08.674847
6.58,21,24.36,72.27,31,541.65,32.14,2021-10-23T12:09:08.715959
6.58,21,24.34,72.27,31,541.65,32.14,2021-10-23T12:09:09.477248
6.58,21,24.34,72.27,31,541.65,32.14,2021-10-23T12:09:09.549386
6.53,21,24.34,72.27,31,541.65,32.14,2021-10-23T12:09:09.651882
6.53,21,24.34,72.27,31,541.65,32.14,2021-10-23T12:09:09.680185
6.53,21,24.34,66.32,31,541.65,32.14,2021-10-23T12:09:10.331016
6.53,21,24.34,66.32,31,541.26,32.14,2021-10-23T12:09:10.361167
6.53,21,24.34,66.32,29,541.26,32.14,2021-10-23T12:09:10.371572
6.53,21,24.34,66.32,29,541.26,32.14,2021-10-23T12:09:10.382019
6.53,21,24.34,66.32,29,541.26,32.14,2021-10-23T12:09:10.391962
6.53,21,24.34,66.32,29,541.26,32.14,2021-10-23T12:09:10.393278
6.53,27,24.34,66.32,29,541.26,32.14,2021-10-23T12:09:10.462465
6.53,27,24.34,66.32,29,541.26,32.14,2021-10-23T12:09:10.470494
6.53,27,24.34,66.8,29,541.26,32.14,2021-10-23T12:09:10.771862
6.53,27,24.34,66.8,29,541.26,32.14,2021-10-23T12:09:10.814680
6.53,25,24.34,66.8,29,541.26,32.14,2021-10-23T12:09:10.987132
6.53,25,24.34,66.8,29,541.26,32.14,2021-10-23T12:09:11.004340
6.58,25,24.34,66.8,29,541.26,32.14,2021-10-23T12:09:11.405814
6.58,25,24.34,66.8,29,541.26,32.14,2021-10-23T12:09:11.448162
6.58,25,24.33,66.8,29,541.26,32.14,2021-10-23T12:09:11.592051
6.58,25,24.33,66.8,29,541.26,32.14,2021-10-23T12:09:11.660128
